time,altimeter,air_temp,relative_humidity,wind_speed,wind_direction,visibility,dew_point_temperature,pressure,output_pm25
0,0.763512475433223,-15.2,77.75,2.57,250,10,-18.24,0.763513541076027,7.5
1,0.763512475433223,-14.5,71.6,2.06,270,10,-18.55,0.763513541076027,13.8
2,0.749998503546595,-14.1,71.6,2.57,260,10,-18.16,0.749998980187074,16.7
3,0.749998503546595,-13.8,71.6,2.57,250,10,-17.87,0.749998980187074,13.7
4,0.749998503546595,-13.7,71.6,2.06,240,10,-17.78,0.749998980187074,11.2
5,0.743242515238884,-13.3,71.81,1.54,200,10,-17.36,0.743243739368451,8.8
6,0.729728543352256,-13.1,78.1,1.54,180,10,-16.15,0.729729178479502,9.2
7,0.722972555044545,-12.7,78.1,1.54,170,10,-15.76,0.722971898035025,6.3
8,0.722972555044545,-12.5,78.27,0,0,10,-15.54,0.722971898035025,9.3
9,0.695944611271286,-12.5,84.99,2.06,130,5,-14.53,0.695944815882976,19.5
10,0.689188622963576,-12,84.99,2.06,140,10,-14.04,0.68918957506435,7.1
11,0.668918662769237,-11.6,84.99,3.6,150,10,-13.64,0.668919773356777,10.9
12,0.662160679190317,-11,78.44,3.6,140,10,-14.05,0.662160453286448,7.3
13,0.648648702574898,-10.7,85.11,4.12,150,10,-12.74,0.648647932023349,10
14,0.635134730688268,-10,78.61,3.6,140,10,-13.05,0.635135410760249,11.8
15,0.62162075880164,-9.2,72.65,4.12,150,10,-13.26,0.6216208498713,11.2
16,0.601350798607301,-8.6,72.65,5.66,150,10,-12.68,0.601351048163724,15.5
17,0.574322854834042,-8,67.19,5.66,150,10,-13.08,0.574321926385825,11.5
18,0.540538922753076,-7.6,72.85,5.14,150,10,-11.68,0.54053960341515,7.2
19,0.499999002364395,-7.5,67.42,4.63,140,10,-12.56,0.499997960374149,10.5
20,0.472973053862346,-7.3,67.42,5.66,150,10,-12.37,0.47297291784795,13.5
21,0.466215070283429,-7,67.42,6.17,150,10,-12.08,0.466215637403476,15.5
22,0.425675149894749,-6.8,73.06,5.14,130,10,-10.87,0.425673994362475,14.1
23,0.398647206121493,-7.5,85.59,5.66,140,1.75,-9.53,0.398646912210426,10.6
0,0.385135229506071,-7.2,85.59,5.14,150,5,-9.23,0.385134390947326,15.1
1,0.364863274040523,-7.3,92.55,3.09,140,1.75,-8.32,0.364862549613901,20.6
2,0.351351297425102,-6.9,100,2.57,150,1.5,-6.9,0.351350028350801,21.8
3,0.304053393457504,-6.3,92.61,3.6,150,5,-7.32,0.304053144491174,22.5
4,0.290539421570877,-5.6,100,2.57,140,10,-5.6,0.290538583602224,21.2
5,0.277025449684249,-5.5,92.67,1.54,150,1.75,-6.51,0.277024022713275,19.8
6,0.249999501182199,-5.2,92.67,2.57,170,10,-6.22,0.249998980187076,21
7,0.243241517603279,-4.8,100,2.06,160,10,-4.8,0.2432416997426,17.8
8,0.263513473068827,-4.5,92.73,0,0,7,-5.51,0.263513541076025,17
9,0.249999501182199,-4.5,92.73,0,0,7,-5.51,0.249998980187076,16.7
10,0.243241517603279,-4.3,100,0,0,7,-4.3,0.2432416997426,17.1
11,0.249999501182199,-4.1,100,0,0,7,-4.1,0.249998980187076,12.8
12,0.249999501182199,-4,100,0,0,7,-4,0.249998980187076,16.1
13,0.25675548948991,-3.8,100,0,0,5,-3.8,0.256754221005699,12.8
14,0.25675548948991,-3.6,100,1.54,330,4,-3.6,0.256754221005699,14.5
15,0.283783433263166,-3.4,100,0,0,2,-3.4,0.283783342783601,16.7
16,0.290539421570877,-3.5,92.79,3.6,330,2,-4.51,0.290538583602224,8.4
17,0.283783433263166,-4.3,92.73,2.57,340,2.5,-5.32,0.283783342783601,11.2
18,0.283783433263166,-4.5,92.73,2.57,320,2.5,-5.51,0.283783342783601,14
19,0.297297405149794,-4.4,92.73,3.09,320,2,-5.41,0.29729790367255,7.6
20,0.297297405149794,-4.5,92.73,4.12,310,7,-5.51,0.29729790367255,7.5
21,0.331079341959557,-4.6,92.67,3.09,290,10,-5.62,0.331078187017373,1.7
22,0.344593313846185,-5.6,92.61,4.12,300,10,-6.62,0.344592747906325,4.7
23,0.324323353651846,-6.3,85.71,3.6,320,10,-8.33,0.324322946198749,0.9
0,0.918918163951433,-18.1,77.21,3.09,280,10,-21.14,0.91891875354385,11.9
1,0.932432135838064,-18.7,77.02,3.09,280,10,-21.76,0.932433314432799,18.5
2,0.945946107724692,-19.5,70.49,2.57,260,10,-23.54,0.945945835695899,21.5
3,0.945946107724692,-20.5,76.84,2.06,250,10,-23.53,0.945945835695899,17.5
4,0.952702096032403,-21.3,76.65,2.57,230,10,-24.33,0.952703116140375,16.1
5,0.966216067919031,-21.3,76.65,2.06,250,10,-24.33,0.966215637403475,14.6
6,0.966216067919031,-23.4,83.55,2.06,210,10,-25.42,0.966215637403475,18.3
7,0.972972056226741,-22.5,83.69,2.57,240,10,-24.52,0.972972917847951,21.4
8,0.979730039805658,-25.1,83.26,0,0,10,-27.12,0.979730198292424,12.7
9,0.979730039805658,-25.1,83.26,3.09,180,10,-27.12,0.979730198292424,24.6
10,0.986486028113369,-24.3,83.4,1.54,210,10,-26.32,0.9864874787369,15.4
11,0.979730039805658,-24.8,91.29,2.06,200,10,-25.82,0.979730198292424,8.9
12,0.979730039805658,-23.9,83.4,1.54,200,10,-25.93,0.979730198292424,13
13,0.986486028113369,-24.1,83.4,2.57,190,10,-26.13,0.9864874787369,7.8
