time,altimeter,air_temp,relative_humidity,wind_speed,wind_direction,visibility,dew_point_temperature,pressure,output_so2
0,0.79470079524055,-8,61.92,2.57,250,10,-14.09,0.794700295086523,1
1,0.801323801641657,-8,61.92,1.54,280,10,-14.09,0.801323393576759,0
2,0.79470079524055,-9,66.95,1.54,250,10,-14.08,0.794700295086523,0
3,0.781456781534745,-8,67.19,0,0,10,-13.08,0.78145818517701,0
4,0.768210768732532,-8,67.19,0,0,10,-13.08,0.76821198819654,0
5,0.74834374862562,-8,72.85,2.06,160,10,-12.07,0.748344736261311,0
6,0.735099734919815,-8,72.85,3.09,160,10,-12.07,0.73510058281632,0
7,0.721853722117602,-8,78.94,3.6,180,10,-11.05,0.721854385835846,6
8,0.721853722117602,-7,67.42,4.63,170,10,-12.08,0.721854385835846,3
9,0.688740689208477,-7,73.06,3.6,160,10,-11.07,0.688740936920148,2
10,0.668873669101565,-6,73.25,5.66,180,10,-10.07,0.668873684984919,2
11,0.655627656299352,-6,73.25,5.66,170,10,-10.07,0.655627488004446,3
12,0.642383642593547,-6,73.25,6.17,170,10,-10.07,0.642383334559454,3
13,0.63576063619244,-6,79.26,6.69,180,10,-9.05,0.635760236069218,2
14,0.629137629791335,-6,79.26,7.72,180,10,-9.05,0.629137137578984,2
15,0.61589361608553,-5,73.45,8.75,180,10,-9.07,0.615892984133989,2
16,0.602647603283315,-4,68.11,7.72,180,10,-9.08,0.602648830688998,1
17,0.5695365694706,-3,68.34,7.72,180,10,-8.08,0.569537425308778,2
18,0.529800530160367,-2,58.68,7.72,190,10,-9.1,0.529800877902842,3
19,0.490066489946545,-2,63.45,8.75,180,10,-8.09,0.490066374032386,2
20,0.450330450636313,-1,58.95,7.2,180,10,-8.1,0.450329826626451,1
21,0.4304634305294,-1,58.95,6.17,180,10,-8.1,0.430462574691222,2
22,0.423840424128292,-1,58.95,5.66,200,10,-8.1,0.423839476200986,12
23,0.423840424128292,-1,63.7,4.12,200,10,-7.09,0.423839476200986,14
0,0.423840424128292,-2,68.56,4.12,210,10,-7.08,0.423839476200986,18
1,0.397350397620275,-2,74.03,3.6,200,10,-6.07,0.397351169311002,9
2,0.397350397620275,-1,74.22,5.66,220,10,-5.06,0.397351169311002,3
3,0.390727391219167,-1,74.22,5.66,230,10,-5.06,0.390728070820766,7
4,0.377483377513362,0,69,5.66,230,10,-5.08,0.377483917375774,7
5,0.377483377513362,0,69,5.66,230,10,-5.08,0.377483917375774,5
6,0.377483377513362,-1,74.22,3.6,240,10,-5.06,0.377483917375774,49
7,0.370860371112258,-1,74.22,4.12,240,10,-5.06,0.370860818885537,2
8,0.377483377513362,-2,74.03,4.12,240,10,-6.07,0.377483917375774,0
9,0.377483377513362,-2,74.03,3.6,240,10,-6.07,0.377483917375774,1
10,0.38410638391447,-2,74.03,3.6,230,10,-6.07,0.384107015866011,1
11,0.390727391219167,-3,79.74,4.12,230,10,-6.05,0.390728070820766,0
12,0.397350397620275,-2,74.03,5.14,250,10,-6.07,0.397351169311002,3
13,0.403973404021383,-1,68.78,7.72,270,10,-6.08,0.403974267801239,2
14,0.423840424128292,-1,58.95,4.63,290,10,-8.1,0.423839476200986,1
15,0.443707444235205,-1,46.53,3.6,300,10,-11.13,0.443706728136214,0
16,0.463576463438525,-1,46.53,3.09,290,10,-11.13,0.463576023606921,0
17,0.456953457037417,-2,46.23,3.09,290,10,-12.13,0.456952925116687,0
18,0.463576463438525,-1,39.61,5.14,260,10,-13.14,0.463576023606921,0
19,0.463576463438525,-2,46.23,5.14,260,10,-12.13,0.463576023606921,0
20,0.463576463438525,-2,42.63,3.6,290,10,-13.14,0.463576023606921,1
21,0.490066489946545,-2,46.23,5.66,270,10,-12.13,0.490066374032386,0
22,0.50331050365235,-3,49.79,3.09,280,10,-12.12,0.503310527477377,1
23,0.509933510053455,-4,49.48,1.54,270,10,-13.13,0.509933625967614,0
0,0.52317752375926,-5,57.86,2.06,280,10,-12.11,0.523177779412606,0
1,0.52317752375926,-6,62.44,0,0,10,-12.09,0.523177779412606,1
2,0.536423536561475,-6,62.44,1.54,280,10,-12.09,0.536423976393079,1
3,0.54304654296258,-7,73.06,0,0,10,-11.07,0.543047074883316,1
4,0.54304654296258,-7,73.06,0,0,10,-11.07,0.543047074883316,1
5,0.54966755026728,-7,79.1,0,0,10,-10.05,0.549668129838071,3
6,0.556290556668385,-7,79.1,0,0,10,-10.05,0.556291228328307,10
7,0.556290556668385,-7,79.1,0,0,10,-10.05,0.556291228328307,12
8,0.562913563069492,-8,85.47,0,0,10,-10.04,0.562914326818541,8
9,0.54966755026728,-6,79.26,3.09,70,10,-9.05,0.549668129838071,6
10,0.54966755026728,-5,73.45,3.09,90,10,-9.07,0.549668129838071,3
11,0.556290556668385,-6,79.26,3.09,100,10,-9.05,0.556291228328307,2
12,0.556290556668385,-6,73.25,3.09,80,10,-10.07,0.556291228328307,2
13,0.562913563069492,-6,73.25,3.09,90,10,-10.07,0.562914326818541,7
14,0.576157576775297,-5,73.45,3.09,90,10,-9.07,0.576158480263536,7
15,0.5695365694706,-4,68.11,5.66,100,10,-9.08,0.569537425308778,5
16,0.54966755026728,-2,63.45,7.2,110,10,-8.09,0.549668129838071,2
17,0.536423536561475,1,50.98,4.63,100,10,-8.12,0.536423976393079,2
18,0.52317752375926,1,50.98,4.12,110,10,-8.12,0.523177779412606,2
19,0.50331050365235,1,50.98,3.6,90,10,-8.12,0.503310527477377,3
20,0.483443483545438,2,51.27,5.14,100,10,-7.12,0.483443275542149,3
21,0.47682047714433,2,51.27,6.69,110,10,-7.12,0.476820177051915,3
22,0.463576463438525,2,51.27,6.69,110,10,-7.12,0.463576023606921,2
23,0.456953457037417,2,55.36,8.23,110,10,-6.11,0.456952925116687,1
0,0.456953457037417,2,59.74,7.72,120,10,-5.1,0.456952925116687,1
1,0.456953457037417,2,64.42,6.17,110,10,-4.09,0.456952925116687,1
2,0.463576463438525,2,64.42,6.69,130,10,-4.09,0.463576023606921,1
3,0.450330450636313,2,69.43,6.17,130,10,-3.07,0.450329826626451,1
4,0.437086436930507,3,64.66,7.2,140,10,-3.08,0.437085673181459,0
5,0.437086436930507,3,69.64,7.72,140,10,-2.07,0.437085673181459,0
6,0.417217417727187,3,69.64,5.66,140,10,-2.07,0.417218421246231,0
7,0.397350397620275,3,80.63,5.66,140,10,-0.05,0.397351169311002,1
8,0.38410638391447,3,86.68,5.66,140,7,0.97,0.384107015866011,1
9,0.38410638391447,3,93.13,4.63,150,2.5,1.98,0.384107015866011,1
10,0.38410638391447,3,93.13,4.12,150,1.5,1.98,0.384107015866011,1
11,0.403973404021383,3,93.13,1.54,200,1.25,1.98,0.403974267801239,0
12,0.417217417727187,3,93.13,0,0,0.5,1.98,0.417218421246231,1
13,0.437086436930507,3,93.13,1.54,290,0.75,1.98,0.437085673181459,0
14,0.456953457037417,3,100,2.06,290,-0.25,3,0.456952925116687,0
